title,genres,is_comedy,is_european,is_scifi,is_action,is_crime,is_drama,is_animation,is_family,is_fantasy,is_music,is_romance,is_reality,is_western,is_thriller,is_horror,is_sport,is_documentation,is_war,is_history
The Big Flower Fight,['reality'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Flavorful Origins,['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The King's Avatar,"['action', 'fantasy']",False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Can You Hear Me?,"['comedy', 'drama']",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Rogue City,"['crime', 'thriller', 'action', 'drama']",False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Watchman,"['drama', 'action', 'thriller']",False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Unstoppable,"['drama', 'documentation']",False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Kolaiyuthir Kaalam,"['horror', 'thriller', 'drama']",False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",['documentation'],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Only Mine,"['drama', 'thriller']",False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Tom Papa: You're Doing Great!,['comedy'],True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Skin Decision: Before and After,['reality'],False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
How I Became a Super Hero,"['action', 'comedy', 'drama', 'fantasy', 'thriller']",True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
It's Bruno!,"['comedy', 'animation']",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Oktoberfest: Beer & Blood,"['drama', 'history', 'thriller']",False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
Unknown Origins,"['crime', 'drama', 'thriller', 'comedy', 'action']",True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Shaun the Sheep: Adventures from Mossy Bottom,"['animation', 'comedy', 'family']",True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
Criminal: France,"['crime', 'thriller', 'drama']",False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False
